run_id,started_at,finished_at,open_with_contract,checked,skipped_no_contract,sell_detected,sell_recorded,sell_no_price,sell_below_threshold,api_empty_transfers,errors,new_whales,whale_events,notes
20260822_104533,2026-08-22T10:45:33.457975,2026-08-22T10:46:27.551775,240,80,0,0,0,0,0,80,0,0,0,detail=data/logs/nightly_20260822_104533.log
20260822_105202,2026-08-22T10:52:02.105759,2026-08-22T10:54:41.228974,240,240,0,0,0,0,0,240,0,0,0,detail=data/logs/nightly_20260822_105202.log
20260822_224644,2026-08-22T22:46:44.937676,2026-08-22T22:48:53.918807,240,240,0,0,0,0,0,240,0,0,0,detail=data/logs/nightly_20260822_224644.log
20260823_032359,2026-08-23T03:23:59.906666,2026-08-23T03:26:12.501545,240,240,0,0,0,0,0,240,0,0,0,detail=data/logs/nightly_20260823_032359.log
20260823_033759,2026-08-23T03:37:59.360242,2026-08-23T03:40:12.244263,240,240,0,0,0,0,0,0,240,0,0,0,detail=data/logs/nightly_20260823_033759.log
20260823_034655,2026-08-23T03:46:55.116660,2026-08-23T03:53:30.095009,240,240,0,27,27,0,1,0,212,0,0,0,detail=data/logs/nightly_20260823_034655.log
20260823_042730,2026-08-23T04:27:30.036646,2026-08-23T04:33:43.880628,233,233,0,20,0,0,1,0,212,0,0,0,detail=data/logs/nightly_20260823_042730.log
20260823_224548,2026-08-23T22:45:48.326363,2026-08-23T22:52:15.580566,243,243,0,23,3,0,1,0,219,0,0,0,detail=data/logs/nightly_20260823_224548.log
20260824_225115,2026-08-24T22:51:15.635613,2026-08-24T22:57:11.500792,243,243,0,24,2,10,1,0,218,0,0,0,detail=data/logs/nightly_20260824_225115.log
20260825_225255,2026-08-25T22:52:55.889281,2026-08-25T22:59:20.077874,250,250,0,24,3,0,1,0,225,0,0,0,detail=data/logs/nightly_20260825_225255.log
20260827_032526,2026-08-27T03:25:26.197623,2026-08-27T03:31:02.878073,251,251,0,25,1,0,1,0,225,0,0,0,detail=data/logs/nightly_20260827_032526.log
20260828_061234,2026-08-28T06:12:34.266831,2026-08-28T06:19:04.925192,250,250,0,25,1,0,0,0,225,0,0,0,detail=data/logs/nightly_20260828_061234.log
20260829_034627,2026-08-29T03:46:27.129955,2026-08-29T04:02:40.807592,250,250,0,25,0,0,0,0,225,0,0,0,detail=data/logs/nightly_20260829_034627.log
20260830_002949,2026-08-30T00:29:49.349539,2026-08-30T00:58:30.320379,251,251,0,26,1,0,0,0,225,0,0,0,detail=data/logs/nightly_20260830_002949.log
20260831_004235,2026-08-31T00:42:35.174983,2026-08-31T00:53:12.122153,251,251,0,25,1,0,1,0,225,0,0,0,detail=data/logs/nightly_20260831_004235.log
20260901_012032,2026-09-01T01:20:32.896059,2026-09-01T01:31:42.942592,250,250,0,24,0,0,1,0,225,0,0,0,detail=data/logs/nightly_20260901_012032.log
20260902_002229,2026-09-02T00:22:29.505432,2026-09-02T00:29:44.275867,250,250,0,25,0,0,0,0,225,0,0,0,detail=data/logs/nightly_20260902_002229.log
20260903_002623,2026-09-03T00:26:23.267607,2026-09-03T00:34:12.151753,259,259,0,27,2,0,0,0,232,0,0,0,detail=data/logs/nightly_20260903_002623.log
20260904_182037,2026-09-04T18:20:37.741069,2026-09-04T18:28:34.306425,258,258,0,26,0,0,0,0,232,0,1,0,detail=data/logs/nightly_20260904_182037.log | backfill=0 | candidates=8
20260904_185451,2026-09-04T18:54:51.880309,2026-09-04T19:03:04.849616,258,258,0,26,0,0,0,0,232,0,0,0,detail=data/logs/nightly_20260904_185451.log | backfill=0 | candidates=0
20260905_043914,2026-09-05T04:39:14.660996,2026-09-05T04:47:20.495992,258,258,0,26,0,0,0,0,232,0,0,1,detail=data/logs/nightly_20260905_043914.log | backfill=0 | candidates=0
20260905_052215,2026-09-05T05:22:15.347209,2026-09-05T05:31:36.698091,258,258,0,26,26,0,0,0,232,0,0,0,detail=data/logs/nightly_20260905_052215.log | backfill=0 | candidates=2
20260905_065853,2026-09-05T06:58:53.386759,2026-09-05T07:04:48.644186,235,235,0,3,2,0,0,0,232,0,0,0,detail=data/logs/nightly_20260905_065853.log | backfill=5 | candidates=0
20260905_081019,2026-09-05T08:10:19.251992,2026-09-05T08:21:29.507621,233,233,0,1,0,0,0,0,232,0,0,0,detail=data/logs/nightly_20260905_081019.log | backfill=5 | candidates=0
20260905_083655,2026-09-05T08:36:55.954253,2026-09-05T08:46:30.688305,233,233,0,1,0,0,0,0,232,0,5,0,detail=data/logs/nightly_20260905_083655.log | backfill=4 | candidates=0
