trade_id,wallet_address,token,token_name,contract,chain,buy_price,buy_date,status,total_sold_percent,sell_ids
trade_1786449351_0xc165e8c1,0xc165e8c1e3ee6878987b8a26a50efe8dde4d352a,BEAR,Bearly Legal,0xc114cf69972e3c1b4b529e0418012c01fcf9e725,ethereum,0.001379,2026-08-11T11:55:51.833180,open,0,
trade_1786449351_0x3913a68c,0x3913a68cd43905526e087863afdb251719593f80,BEAR,Bearly Legal,0xc114cf69972e3c1b4b529e0418012c01fcf9e725,ethereum,0.001379,2026-08-11T11:55:51.846949,open,0,
trade_1786449351_0xd294c6cb,0xd294c6cbdbc1783ca2a3fc9a1c24a059ec96d232,BEAR,Bearly Legal,0xc114cf69972e3c1b4b529e0418012c01fcf9e725,ethereum,0.001379,2026-08-11T11:55:51.853670,open,0,
trade_1786449351_0x150d490a,0x150d490afd0f23d047a76bc4ae41a9b772c62f61,BEAR,Bearly Legal,0xc114cf69972e3c1b4b529e0418012c01fcf9e725,ethereum,0.001379,2026-08-11T11:55:51.860342,open,0,
trade_1786449351_0xd9db7748,0xd9db7748d204d431aa6bece6f8407eb4320d4340,BEAR,Bearly Legal,0xc114cf69972e3c1b4b529e0418012c01fcf9e725,ethereum,0.001379,2026-08-11T11:55:51.867067,open,0,
trade_1786449351_0x43939343,0x43939343f377b870a2db0ccbd8a44fc6113a1084,BEAR,Bearly Legal,0xc114cf69972e3c1b4b529e0418012c01fcf9e725,ethereum,0.001379,2026-08-11T11:55:51.873752,open,0,
trade_1786449351_0x4328d9c3,0x4328d9c39b13f0c996a681b46de0f1a268bd0c30,BEAR,Bearly Legal,0xc114cf69972e3c1b4b529e0418012c01fcf9e725,ethereum,0.001379,2026-08-11T11:55:51.880416,open,0,
trade_1787084399_0x034d2bee,0x034d2beef836a0d102c2124298b45ec5ce9c536e,STARMAN,Starman,0x12419a0427c2a27a61c1cb4a49f5fad24fd4e671,ethereum,0.0001573,2026-08-18T20:19:59.274236,open,0,
trade_1787084399_0x70672780,0x70672780bdcc614331f67d0620b6b66eff103cee,STARMAN,Starman,0x12419a0427c2a27a61c1cb4a49f5fad24fd4e671,ethereum,0.0001573,2026-08-18T20:19:59.295465,open,0,
trade_1787084399_0x244bb391,0x244bb3910d13ab7c6a68ce36d05c156ff7e678af,STARMAN,Starman,0x12419a0427c2a27a61c1cb4a49f5fad24fd4e671,ethereum,0.0001573,2026-08-18T20:19:59.305367,open,0,
trade_1787084399_0xb4c1e9e6,0xb4c1e9e66b767b7a7a4355844f2e6f3ad99f2ca8,STARMAN,Starman,0x12419a0427c2a27a61c1cb4a49f5fad24fd4e671,ethereum,0.0001573,2026-08-18T20:19:59.315242,open,0,
trade_1787084399_0x3b7a1379,0x3b7a1379b3aeb36420db4533035aa04e9a3ce615,STARMAN,Starman,0x12419a0427c2a27a61c1cb4a49f5fad24fd4e671,ethereum,0.0001573,2026-08-18T20:19:59.325128,open,0,
trade_1787084399_0xc6d065e4,0xc6d065e48fc3848328d3b8eefbe38f0068542d9c,STARMAN,Starman,0x12419a0427c2a27a61c1cb4a49f5fad24fd4e671,ethereum,0.0001573,2026-08-18T20:19:59.334914,open,0,
trade_1787084399_0xcbd21ffe,0xcbd21ffe5d118ba5ed04a65aa28476e128a3702e,STARMAN,Starman,0x12419a0427c2a27a61c1cb4a49f5fad24fd4e671,ethereum,0.0001573,2026-08-18T20:19:59.344825,open,0,
