address,chain,first_seen,last_seen,total_trades,total_sells,winning_sells,losing_sells,win_rate,avg_profit,avg_hold_duration,score,in_whitelist,is_whale
0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,2026-08-03T05:12:26.269828,2026-08-04T21:55:39.324151,4,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x1c875c3a44badc390e6e6c92f72636725d348f9c,ethereum,2026-08-03T05:12:26.306860,2026-08-04T21:55:39.378281,4,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x04a505b7ff3ca4ad5f759987de5a6a746542fb97,ethereum,2026-08-03T05:12:26.341421,2026-08-04T21:55:39.429761,4,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x69c7bd26512f52bf6f76fab834140d13dda673ca,ethereum,2026-08-03T05:12:26.375351,2026-08-04T21:55:39.493771,4,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x034d2beef836a0d102c2124298b45ec5ce9c536e,ethereum,2026-08-03T17:27:17.302152,2026-08-14T06:56:54.353767,4,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x12419a0427c2a27a61c1cb4a49f5fad24fd4e671,ethereum,2026-08-03T17:27:17.356585,2026-08-08T05:11:08.962190,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x86ce2637f272a2972b0652492c4830458d008d29,ethereum,2026-08-03T17:27:17.408638,2026-08-14T06:56:54.362533,4,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xe64be7873656146fb3866bf82d058da8e073cd09,ethereum,2026-08-03T17:27:17.462363,2026-08-08T05:11:09.064848,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x055751c87b1caa5c3c3b95681bb275456f022278,ethereum,2026-08-03T17:27:18.560046,2026-08-14T06:56:54.975988,9,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xf280b16ef293d8e534e370794ef26bf312694126,ethereum,2026-08-03T17:27:18.607648,2026-08-10T22:20:59.858662,7,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x76a411f14a704099ba476ce8dffc288a53295218,ethereum,2026-08-03T17:27:18.653699,2026-08-14T06:56:54.984620,9,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x13379484d6e4cb42794e71d14774953b29e6743a,ethereum,2026-08-03T17:27:18.701901,2026-08-10T22:20:59.988292,7,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xe843439d8c0917961aa7076e2f8b25c6d1b92778,ethereum,2026-08-04T11:10:40.925049,2026-08-14T14:29:57.745384,12,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x7dfc9dd51638573a812b39d33eded20df468e7bc,ethereum,2026-08-04T11:10:40.982199,2026-08-14T14:29:57.753559,12,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xaff2565091e7207191dbe340b8528d02fa78d044,ethereum,2026-08-04T11:10:41.096161,2026-08-10T22:21:00.634121,10,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x33996792d18adbb2ebc1299591a9a5a0ca7cb9db,ethereum,2026-08-04T11:10:41.153205,2026-08-10T22:21:00.691546,10,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x918a8a19006b38f2ca90c8e851aa211d1676d84d,ethereum,2026-08-04T11:10:42.522956,2026-08-04T11:10:42.522960,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x5ced44f03ff443bbe14d8ea23bc24425fb89e3ed,ethereum,2026-08-04T11:10:42.601872,2026-08-04T11:10:42.601875,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x12ebead6b72eecfd45a1d3964bbfb3ae49cac699,ethereum,2026-08-04T11:10:42.656213,2026-08-04T11:10:42.656215,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
