alert_id,alert_type,wallet_address,token,contract,chain,amount,price,tx_hash,created_at,notes
alert_1788546495_0x750874,promote,0x750874e6fb8dca30ce41d445e4baf8c76971f912,,,ethereum,0,0,promote_0x750874e6,2026-09-04T18:28:15.994365,promoted to whale
alert_1788546498_0xc4704f,candidate,0xc4704f13d5e08b27b039d53873e813dd2fad99d9,,,ethereum,0,0,candidate_0xc4704f13d5,2026-09-04T18:28:18.355688,whale candidate (≥1 verified winning sell)
alert_1788546500_0x7b7364,candidate,0x7b73644935b8e68019ac6356c40661e1bc315860,,,ethereum,0,0,candidate_0x7b73644935,2026-09-04T18:28:20.233120,whale candidate (≥1 verified winning sell)
alert_1788546502_0xc56c9d,candidate,0xc56c9d4aee66e16aa4a31a710a6d2fc720a626b6,,,ethereum,0,0,candidate_0xc56c9d4aee,2026-09-04T18:28:22.167680,whale candidate (≥1 verified winning sell)
alert_1788546504_0x704ad8,candidate,0x704ad8d95c12d7fea531738faa94402725acb035,,,ethereum,0,0,candidate_0x704ad8d95c,2026-09-04T18:28:24.043460,whale candidate (≥1 verified winning sell)
alert_1788546505_0x69c66b,candidate,0x69c66beafb06674db41b22cfc50c34a93b8d82a2,,,ethereum,0,0,candidate_0x69c66beafb,2026-09-04T18:28:25.919469,whale candidate (≥1 verified winning sell)
alert_1788546507_0xc2eab7,candidate,0xc2eab7d33d3cb97692ecb231a5d0e4a649cb539d,,,ethereum,0,0,candidate_0xc2eab7d33d,2026-09-04T18:28:27.789612,whale candidate (≥1 verified winning sell)
alert_1788546509_0x7dfc9d,candidate,0x7dfc9dd51638573a812b39d33eded20df468e7bc,,,ethereum,0,0,candidate_0x7dfc9dd516,2026-09-04T18:28:29.663868,whale candidate (≥1 verified winning sell)
alert_1788546511_0x5ced44,candidate,0x5ced44f03ff443bbe14d8ea23bc24425fb89e3ed,,,ethereum,0,0,candidate_0x5ced44f03f,2026-09-04T18:28:31.541086,whale candidate (≥1 verified winning sell)
alert_1788583637_0x750874,sell,0x750874e6fb8dca30ce41d445e4baf8c76971f912,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.0264,2450.93,0xd7762a5256a7d76efc01a041b383d1056d8db9347f8d5a97928fd69bf46c8ce8,2026-09-05T04:47:17.682270,profit=None
alert_1788586291_0x69c7bd,candidate,0x69c7bd26512f52bf6f76fab834140d13dda673ca,,,ethereum,0,0,candidate_0x69c7bd2651,2026-09-05T05:31:31.309600,whale candidate (≥1 verified winning sell)
alert_1788586293_0x52c77b,candidate,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,,,ethereum,0,0,candidate_0x52c77b0cb8,2026-09-05T05:31:33.334687,whale candidate (≥1 verified winning sell)
alert_1788597971_0x69c7bd,promote,0x69c7bd26512f52bf6f76fab834140d13dda673ca,,,ethereum,0,0,promote_0x69c7bd26,2026-09-05T08:46:11.804981,promoted to whale
alert_1788597974_0x7dfc9d,promote,0x7dfc9dd51638573a812b39d33eded20df468e7bc,,,ethereum,0,0,promote_0x7dfc9dd5,2026-09-05T08:46:14.298988,promoted to whale
alert_1788597976_0x8fbd26,promote,0x8fbd26a7cb1ab65834c5ea245aa1f1e78d03ed30,,,ethereum,0,0,promote_0x8fbd26a7,2026-09-05T08:46:16.858248,promoted to whale
alert_1788597979_0x69c66b,promote,0x69c66beafb06674db41b22cfc50c34a93b8d82a2,,,ethereum,0,0,promote_0x69c66bea,2026-09-05T08:46:19.358265,promoted to whale
alert_1788597981_0xc56c9d,promote,0xc56c9d4aee66e16aa4a31a710a6d2fc720a626b6,,,ethereum,0,0,promote_0xc56c9d4a,2026-09-05T08:46:21.848873,promoted to whale
alert_1788654382_0x750874,sell,0x750874e6fb8dca30ce41d445e4baf8c76971f912,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.0023,2483.58,0x887909531f6f30bce2dd6e9df6bff08d5566548f6238a65c27a812e7b310a2ba,2026-09-06T00:26:22.223293,profit=None
alert_1788654384_0x750874,sell,0x750874e6fb8dca30ce41d445e4baf8c76971f912,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.0065,2483.58,0xafb9718bb4047ba95459d24ea45db9da38477dc0c9ccdac49102730e7a09e80a,2026-09-06T00:26:24.604849,profit=None
alert_1788654387_0x750874,sell,0x750874e6fb8dca30ce41d445e4baf8c76971f912,CATALORIAN,0x8baf5d75cae25c7df6d1e0d26c52d19ee848301a,ethereum,254592.0456,0.0001981,0xfde6de36c08d7d70c264915e1d518ad38cac13c8683e43cf81de15221da12aa0,2026-09-06T00:26:27.246633,profit=None
alert_1788654389_0x750874,sell,0x750874e6fb8dca30ce41d445e4baf8c76971f912,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.015,2483.58,0x03c770feb8500dd031335591d96790fc61841d47cc5292bdbea414d73d74396c,2026-09-06T00:26:29.678749,profit=None
alert_1788654392_0x750874,sell,0x750874e6fb8dca30ce41d445e4baf8c76971f912,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.0094,2483.58,0x912fb0429074e40798cf6124895e2a58740856ad324cf1b4c4acc581f3b48432,2026-09-06T00:26:32.084955,profit=None
alert_1788654394_0x750874,sell,0x750874e6fb8dca30ce41d445e4baf8c76971f912,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.0121,2483.58,0xb3b33658507f3c6f0b6031b6056b9581b1db10a96db4f5d8dc9d942f776e2b76,2026-09-06T00:26:34.476252,profit=None
alert_1788654398_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,21618.9452,0.02038,0xd3a543f261c3785ea9ff8ea3d79594ee8cb6fc12cdaa6f37f7865cf6ff21ac19,2026-09-06T00:26:38.050614,profit=None
alert_1788654400_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,24417.2093,0.02038,0xdcef9823de1bb97db6405169a705cc5647d5b40a956438da096510b2fe3644a8,2026-09-06T00:26:40.439853,profit=None
alert_1788654402_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,9768.5735,0.02038,0x474227d593f2da69fcab379980238cc671e87ce5f130365d8269ed0397642f50,2026-09-06T00:26:42.837491,profit=None
alert_1788654405_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,34638.9143,0.02038,0x22e52355b5340a4903129869b4820ef5e8870bdc4f51f30ddfbc2ff141a562b9,2026-09-06T00:26:45.234620,profit=None
alert_1788654407_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,506.0925,0.02038,0xe566fe4980de12fbd03d1f1a79d71056b7b9b044a3b7aeb9e941954a4aea9deb,2026-09-06T00:26:47.618680,profit=None
alert_1788654410_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,24382.2696,0.02038,0x2d32a3c801d430deeca87e4a75ca9edbe92af65ca45160c879bdb0524848c439,2026-09-06T00:26:50.007309,profit=None
alert_1788654412_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,31854.91,0.02038,0x89d389191345bf5861572866f1f31dd07c6e7710a6914f947e78abf48bd9151b,2026-09-06T00:26:52.391265,profit=None
alert_1788654414_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,7313.093,0.02038,0x799e6345062370f497ff5b520c4c3c9cf35e518dc2ccb1e93410bc4de85a39ad,2026-09-06T00:26:54.806734,profit=None
alert_1788654417_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,1221.3656,0.02038,0x8372747b4f117e148ed491a798f1cd39170f3bd25b7f192b4770cc70573926a9,2026-09-06T00:26:57.201429,profit=None
alert_1788654419_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.3136,2483.58,0xa445d5e86d2a704b6523ed3bb548e0ce15f7a01f66be1cd3bfc83baf0deaf090,2026-09-06T00:26:59.596277,profit=None
alert_1788654422_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,699.3132,0.02038,0xe854b2cafd97b2377cf0abe677410d212cebee4c821ccc1abd445457eb2155e0,2026-09-06T00:27:02.002074,profit=None
alert_1788654424_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.0438,2483.58,0x15870f35a1130f241703ba39c65c4ca05dee0d404f4dcd5f7366181457efefb1,2026-09-06T00:27:04.406964,profit=None
alert_1788654426_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.2861,2483.58,0x8d54280ca6c1a3be395b4dbfef265ed8e560eb4ab2e9fa65a80b9a845a1958bb,2026-09-06T00:27:06.811472,profit=None
alert_1788654429_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.1566,2483.58,0x9a570663703b8ce0ab21a063594b1a5ce55e4827bac965e12e87d00d98d0317c,2026-09-06T00:27:09.256231,profit=None
alert_1788654431_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.2579,2483.58,0xaa6d02e50754bf0b6f9d4e87eeb3ecd1e3c962937fe130af3c9034195c1f8027,2026-09-06T00:27:11.971971,profit=None
alert_1788654442_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,9196.946,0.02038,0xa74a62494226cdd8afc1584d01ab8bd46515924c806cd22dcf4838dc0432de8d,2026-09-06T00:27:22.538372,profit=None
alert_1788654444_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,4891.7956,0.02038,0x79e04a3b27e11653fc3659aa1270285e704006d4fb15d3d61d083e5ccfcb30a5,2026-09-06T00:27:24.973060,profit=None
alert_1788654447_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,4891.9825,0.02038,0xb7660cdacee6d6e1b6cf60eab7221dc422f5850d8da03f36ca5d68fcb839e961,2026-09-06T00:27:27.355072,profit=None
alert_1788654449_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.4952,2484.33,0xe926b3e05a8b2508905846a3929d64c7c743ec092f77a3b3565714e988d66e04,2026-09-06T00:27:29.853743,profit=None
alert_1788654452_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.4947,2484.33,0x68061a481b20b33a413907b25ab675daacf7aef27537872ab2c2456fc58ecaa3,2026-09-06T00:27:32.266941,profit=None
alert_1788654454_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,4897.663,0.02038,0x826b6899de948b016485393921f8b3026da4111bab7195f2b59844ab4eed4cf6,2026-09-06T00:27:34.651708,profit=None
alert_1788654457_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,7352.1398,0.02038,0xa1a6d8acd28b1501d262bd7f820bcf621a014e4ebe6048f53c81e5d095cda009,2026-09-06T00:27:37.045649,profit=None
alert_1788654459_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,36826.227,0.02038,0x48c3f2f3662a479236a31f8b6209a54d4a827be1022c6591183ea0c51cf3725e,2026-09-06T00:27:39.524406,profit=None
alert_1788654461_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.0018,2484.33,0x128574ac770929a5c5f926d6cfea1cc59b86c1988c688131a295e7f1dcd38143,2026-09-06T00:27:41.940410,profit=None
alert_1788654464_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,7296.2524,0.02038,0x25b38f6d481ad8d171466a3c40e2520800175f63d3c51e8384c4b11a91b69a8f,2026-09-06T00:27:44.354009,profit=None
alert_1788654466_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.0597,2484.33,0xc5725004463f254666cd11d15a85e80ab1c541cfa805d8a0e0cda5cf9b918873,2026-09-06T00:27:46.746704,profit=None
alert_1788654469_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,45574.12,0.02038,0x0e98ca8fbe176e2dffdfbee9cbbe0c4a7ad4080c434d3dfebf9054152391cf4b,2026-09-06T00:27:49.142908,profit=None
alert_1788654471_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,14672.2786,0.02038,0x1efa504db25a4ab7d8a26337b4354607375f6d185d93e58d2dc26e1b328fbba7,2026-09-06T00:27:51.534031,profit=None
alert_1788654473_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,28022.9243,0.02038,0xce03016b48ac7007734628ea33a5c01dd1de566a74aa5901cce925ecd2381d92,2026-09-06T00:27:53.925968,profit=None
alert_1788654476_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,100502.2604,0.02038,0xf25d72035087127d930ba7407fb97e859fd7f5151f48066293ae8a111365cabb,2026-09-06T00:27:56.323314,profit=None
alert_1788654478_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.0121,2484.33,0x1b23cb20308021893b439c9edb371d5afaedf3977d9df0a361b274bce477aab7,2026-09-06T00:27:58.709036,profit=None
alert_1788654481_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.8705,2484.33,0xccf031fcf3614402b05778048ddc9c6135f898dadce04e2d8cb93b189e67eab2,2026-09-06T00:28:01.110068,profit=None
alert_1788654483_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,14661.0683,0.02038,0x4715276c44020ac090592237d6a2df70dafdb4e3f1c57ffdedd44b9d2933aae9,2026-09-06T00:28:03.500537,profit=None
alert_1788654485_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,9766.052,0.02038,0xb025a3a9ad0ad72bd3215f45d3bd9b4f1eec61cd6f539c9b582fcfb4123ec8a5,2026-09-06T00:28:05.889957,profit=None
alert_1788654488_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.9492,2484.33,0xf88825798c72df842ef58a1df10d5066619f679d5e3f4cdcc312e6b06d64e9a9,2026-09-06T00:28:08.283824,profit=None
alert_1788654490_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,48735.681,0.02038,0x6450a97fd0ee245b71bb28b4ff67bce513ebf5d29bbb136133376c92d427438d,2026-09-06T00:28:10.962872,profit=None
alert_1788654493_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.0298,2484.33,0x4247d3fc70d9b9e98bae39d03f7e3dd26fbc978c259a5659f4419b812a57e204,2026-09-06T00:28:13.663575,profit=None
alert_1788654503_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,ethereum,1364.4864,0.02038,0xad7833bb4c9c3388a86a58321237ac1de56e032ce4df1896817f1717f76f829e,2026-09-06T00:28:23.076328,profit=None
alert_1788654505_0x69c7bd,sell,0x69c7bd26512f52bf6f76fab834140d13dda673ca,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.0217,2484.33,0x9faefcca148200208ecd2b7986ed7027e93193f4fc79ae1010f91ed91fc22702,2026-09-06T00:28:25.505286,profit=None
alert_1788654508_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.5617,2484.33,0xb266fefbd4834554daebe48a9bfb61eb1973e45dcad65f290446e6cc1b3e69f4,2026-09-06T00:28:28.828616,profit=None
alert_1788654511_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.0104,2485.98,0x475647ce06beb261fb720af10fd36c4d457fce15c7badd4429c14c5f301f245f,2026-09-06T00:28:31.391401,profit=None
alert_1788654513_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,ASTEROID,0xaff2565091e7207191dbe340b8528d02fa78d044,ethereum,57510.8567,0.002475,0x222936d1c0fc672d2e948172ccf1db18d73d21855ab4eb471687e50185d1c6c0,2026-09-06T00:28:33.884695,profit=None
alert_1788654516_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,ASTEROID,0xaff2565091e7207191dbe340b8528d02fa78d044,ethereum,463931.8075,0.002475,0x504d5ce3ff26f0cab189e7e40c2f75f3012d4a452266322ed56b032b393bc1d6,2026-09-06T00:28:36.257853,profit=None
alert_1788654518_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.5612,2485.98,0x90e3f6833ce9a5a903a06549cd896a7755fe6edc86897231ed1967d3f704baa1,2026-09-06T00:28:38.652323,profit=None
