rank,wallet_address,chain,score,total_trades,win_rate,avg_profit,last_seen
1,0x72e4f9f808c49a2a61de9c5896298920dc4eeea9,ethereum,1217947404.32,15,0,0,2026-08-09T21:05:23.069457
2,0x2cc846fff0b08fb3bffad71f53a60b4b6e6d6482,ethereum,1217946713.46,15,0,0,2026-08-09T21:05:23.162362
3,0x6313beee7d0e32c6442078288fbdb74d0a8fc1a5,ethereum,1217945717.34,15,0,0,2026-08-09T21:05:23.249644
4,0x41bc04c8639aa3b39dc036900b7d7575301afa88,ethereum,1217944212.2,15,0,0,2026-08-09T21:05:22.979182
5,0x0000000000000000000000000000000000000000,ethereum,203012282.56,108,0,0,2026-08-10T22:21:01.217351
6,0x8fbd26a7cb1ab65834c5ea245aa1f1e78d03ed30,ethereum,14377.08,7,0,0,2026-08-09T21:05:21.352991
7,0x05cd0a286482ed0ab28a9a3581d72b3cab506fcb,ethereum,14377.07,7,0,0,2026-08-09T21:05:21.257874
8,0xde342a3e269056fc3305f9e315f4c40d917ba521,ethereum,14377.07,7,0,0,2026-08-09T21:05:21.446908
9,0x901b1f018ced4d518cd577c930d5dccef6369d2c,ethereum,14377.07,7,0,0,2026-08-09T21:05:21.538896
10,0x055751c87b1caa5c3c3b95681bb275456f022278,ethereum,3576.29,7,0,0,2026-08-10T22:20:59.761974
11,0xf280b16ef293d8e534e370794ef26bf312694126,ethereum,3576.29,7,0,0,2026-08-10T22:20:59.858662
12,0x76a411f14a704099ba476ce8dffc288a53295218,ethereum,3576.29,7,0,0,2026-08-10T22:20:59.921462
13,0x13379484d6e4cb42794e71d14774953b29e6743a,ethereum,3576.29,7,0,0,2026-08-10T22:20:59.988292
14,0x1a83564b06cdde3d13e7ed02593263339c11c283,ethereum,925.12,11,0,0,2026-08-08T14:05:42.433586
15,0x8bb56568cf417ab345c00eb68895e5f70b4a613a,ethereum,925.12,11,0,0,2026-08-08T14:05:42.503236
16,0xa4e36c0cf96e9fb95834c1982e001686260604db,ethereum,925.12,11,0,0,2026-08-08T14:05:42.566996
17,0xe0a08fd1366b5b4cf256db1a85b6eb0e01aacbce,ethereum,925.12,11,0,0,2026-08-08T14:05:42.631012
